cod	c02	c04	tent	tsal	aceite	fecha
1780	49.38	47.06	25.19	25.31	26.44	2014-05-30 15:38:19
1781	49.38	47.06	25.19	25.31	26.44	2014-05-30 15:39:19
1782	49.31	47.06	25.19	25.31	26.44	2014-05-30 15:40:19
1783	49.31	47.06	25.13	25.31	26.44	2014-05-30 15:41:19
1784	49.31	47.06	25.19	25.31	26.44	2014-05-30 15:42:19
1785	49.31	47.06	25.13	25.31	26.44	2014-05-30 15:43:20
1786	49.31	47.06	25.19	25.31	26.44	2014-05-30 15:44:20
1787	49.31	47.13	25.13	25.31	26.44	2014-05-30 15:45:20
1788	49.31	47.06	25.25	25.31	26.44	2014-05-30 15:46:20
1789	49.31	47.13	25.19	25.25	26.44	2014-05-30 15:47:20
1790	49.31	47.13	25.19	25.31	26.5	2014-05-30 15:48:20
1791	49.31	47.13	25.31	25.31	26.5	2014-05-30 15:49:20
1792	49.31	47.13	25.31	25.38	26.5	2014-05-30 15:50:21
1793	49.31	47.13	25.25	25.38	26.5	2014-05-30 15:51:21
1794	49.38	47.13	25.25	25.38	26.5	2014-05-30 15:52:21
1795	49.38	47.13	25.31	25.38	26.5	2014-05-30 15:53:21
1796	49.44	47.13	25.38	25.38	26.5	2014-05-30 15:54:21
1797	49.44	47.13	25.31	25.38	26.5	2014-05-30 15:55:21
1798	49.44	47.13	25.25	25.38	26.5	2014-05-30 15:56:22
1799	49.44	47.13	25.31	25.38	26.5	2014-05-30 15:57:22
1800	49.44	47.13	25.31	25.38	26.56	2014-05-30 15:58:22
1801	49.44	47.19	25.38	25.38	26.56	2014-05-30 15:59:22
1802	49.44	47.13	25.38	25.38	26.5	2014-05-30 16:00:22
1803	49.44	47.13	25.31	25.38	26.56	2014-05-30 16:01:22
1804	49.44	47.13	25.31	25.38	26.56	2014-05-30 16:02:22
1805	49.44	47.13	25.38	25.38	26.56	2014-05-30 16:03:23
1806	49.44	47.13	25.38	25.38	26.56	2014-05-30 16:04:23
1807	49.44	47.13	25.38	25.38	26.56	2014-05-30 16:05:23
